calendarDate;maxStressLevel;avgStressLevel
2021-05-20;94;12
2021-05-21;89;23
2021-05-22;97;20
2021-05-23;81;10
2021-05-24;93;30
2021-05-25;83;16
2021-05-26;78;9
2021-05-27;90;16
2021-05-28;90;16
2021-05-29;98;42
2021-05-30;88;55
2021-05-31;96;30
2021-06-01;87;27
2021-06-02;63;16
2021-06-03;81;46
2021-06-04;95;40
2021-06-05;83;15
2021-06-06;95;13
2021-06-07;85;12
2021-06-08;85;17
2021-06-09;75;10
2021-06-10;93;15
2021-06-11;93;21
2021-06-12;94;36
2021-06-13;95;24
2021-06-14;86;11
2021-06-15;98;26
2021-06-16;93;35
2021-06-17;99;36
2021-06-18;86;12
2021-06-19;80;11
2021-06-20;93;27
2021-06-21;73;13
2021-06-22;88;13
2021-06-23;87;27
2021-06-24;84;18
2021-06-25;96;24
2021-06-26;93;37
2021-06-27;99;48
2021-06-28;96;16
2021-06-29;74;45
2021-06-30;92;19
2021-07-01;87;10
2021-07-02;99;28
2021-07-03;92;30
2021-07-04;87;20
2021-07-05;97;23
2021-07-06;96;24
2021-07-07;94;35
2021-07-08;84;23
2021-07-09;99;19
2021-07-10;99;32
2021-07-11;63;21
2021-07-12;90;13
2021-07-13;96;18
2021-07-14;96;30
2021-07-15;90;24
2021-07-16;92;14
2021-07-17;98;23
2021-07-18;97;49
2021-07-19;93;19
2021-07-20;97;29
2021-07-21;94;17
2021-07-22;96;22
2021-07-23;95;24
2021-07-24;97;32
2021-07-25;97;36
2021-07-26;91;23
2021-07-27;99;33
2021-07-28;95;40
2021-07-29;91;27
2021-07-30;92;44
2021-07-31;90;24
2021-08-01;96;23
2021-08-02;92;12
2021-08-03;91;17
2021-08-04;94;12
2021-08-05;89;18
2021-08-06;96;40
2021-08-07;92;45
2021-08-08;95;24
2021-08-09;90;13
2021-08-10;96;24
2021-08-11;94;18
2021-08-12;84;16
2021-08-13;99;30
2021-08-14;96;29
2021-08-15;96;29
2021-08-16;97;33
2021-08-17;92;26
2021-08-18;99;16
2021-08-19;91;25
2021-08-20;99;30
2021-08-21;93;17
2021-08-22;89;16
2021-08-23;99;15
2021-08-24;94;36
2021-08-25;98;46
2021-08-26;95;41
2021-08-27;96;48
2021-08-28;98;28
2021-08-29;94;26
2021-08-30;87;11
2021-08-31;97;27
2021-09-01;94;18
2021-09-02;96;41
2021-09-03;97;49
2021-09-04;96;38
2021-09-05;92;18
2021-09-06;94;19
2021-09-07;90;19
2021-09-08;90;19
2021-09-09;98;25
2021-09-10;96;32
2021-09-11;96;37
2021-09-12;90;27
2021-09-13;96;29
2021-09-14;96;35
2021-09-15;95;23
2021-09-16;94;16
2021-09-17;96;32
2021-09-18;95;20
2021-09-19;96;41
2021-09-20;90;17
2021-09-21;89;15
2021-09-22;91;23
2021-09-23;97;25
2021-09-24;94;25
2021-09-25;98;23
2021-09-26;93;19
2021-09-27;91;13
2021-09-28;81;19
2021-09-29;98;31
2021-09-30;96;26
2021-10-01;90;24
2021-10-02;97;18
2021-10-03;98;16
2021-10-04;97;30
2021-10-05;96;24
2021-10-06;94;30
2021-10-07;96;33
2021-10-08;96;34
2021-10-09;96;38
2021-10-10;95;26
2021-10-11;91;30
2021-10-12;97;27
2021-10-13;96;26
2021-10-14;96;28
2021-10-15;93;25
2021-10-16;95;28
2021-10-17;97;30
2021-10-18;95;32
2021-10-19;95;28
2021-10-20;96;33
2021-10-21;93;33
2021-10-22;97;20
2021-10-23;87;19
2021-10-24;94;21
2021-10-25;95;15
2021-10-26;96;32
2021-10-27;98;30
2021-10-28;96;40
2021-10-29;98;35
2021-10-30;95;23
2021-10-31;94;30
2021-11-01;96;37
2021-11-02;96;33
2021-11-03;96;30
2021-11-04;98;40
2021-11-05;98;40
2021-11-06;96;36
2021-11-07;97;31
2021-11-08;95;30
2021-11-09;90;25
2021-11-10;96;34
2021-11-11;98;36
2021-11-12;96;37
2021-11-13;96;49
2021-11-14;96;41
2021-11-15;94;29
2021-11-16;85;28
2021-11-17;96;37
2021-11-18;91;25
2021-11-19;88;27
2021-11-20;90;37
2021-11-21;93;23
2021-11-22;85;8
2021-11-23;98;26
2021-11-24;96;31
2021-11-25;93;33
2021-11-26;96;23
2021-11-27;95;36
2021-11-28;92;31
2021-11-29;93;21
2021-11-30;94;40
2021-12-01;98;30
2021-12-02;94;30
2021-12-03;95;24
2021-12-04;96;19
2021-12-05;92;14
2021-12-06;97;15
2021-12-07;91;26
2021-12-08;96;41
2021-12-09;96;38
2021-12-10;90;26
2021-12-11;97;32
2021-12-12;91;25
2021-12-13;89;38
2021-12-14;96;52
2021-12-15;94;35
2021-12-16;93;28
2021-12-17;96;22
2021-12-18;97;25
2021-12-19;93;19
2021-12-20;95;13
2021-12-21;96;28
2021-12-22;98;24
2021-12-23;93;26
2021-12-24;98;29
2021-12-25;96;35
2021-12-26;96;36
2021-12-27;94;29
2021-12-28;96;49
2021-12-29;94;32
2021-12-30;96;29
2021-12-31;97;32
2022-01-01;93;35
2022-01-02;93;19
2022-01-03;83;19
2022-01-04;99;42
2022-01-05;94;21
2022-01-06;93;26
2022-01-07;93;33
2022-01-08;97;36
2022-01-09;92;34
2022-01-10;93;21
2022-01-11;93;31
2022-01-12;94;35
2022-01-13;98;32
2022-01-14;96;40
2022-01-15;98;32
2022-01-16;97;35
2022-01-17;93;23
2022-01-18;90;29
2022-01-19;92;21
2022-01-20;94;31
2022-01-21;94;37
2022-01-22;98;22
2022-01-23;94;23
2022-01-24;91;19
2022-01-25;98;26
2022-01-26;98;37
2022-01-27;90;25
2022-01-28;96;39
2022-01-29;96;27
2022-01-30;91;19
2022-01-31;86;15
2022-02-01;94;18
2022-02-02;91;24
2022-02-03;96;24
2022-02-04;94;26
2022-02-05;89;16
2022-02-06;91;17
2022-02-07;93;22
2022-02-08;94;24
2022-02-09;96;38
2022-02-10;89;30
2022-02-11;88;26
2022-02-12;94;32
2022-02-13;96;27
2022-02-14;94;26
2022-02-15;99;38
2022-02-16;96;37
2022-02-17;99;39
2022-02-18;95;23
2022-02-19;96;23
2022-02-20;94;20
2022-02-21;96;19
2022-02-22;94;31
2022-02-23;84;29
2022-02-24;96;28
2022-02-25;95;44
2022-02-26;93;37
2022-02-27;98;39
2022-02-28;93;23
2022-03-01;93;8
2022-03-02;94;21
2022-03-03;99;25
2022-03-04;97;39
2022-03-05;96;27
2022-03-06;94;24
2022-03-07;96;32
2022-03-08;96;38
2022-03-09;93;31
2022-03-10;95;37
2022-03-11;97;37
2022-03-12;99;30
2022-03-13;96;37
2022-03-14;92;31