timestamp;stressLevel
1621461600000;12
1621461780000;8
1621461960000;7
1621462140000;9
1621462320000;14
1621462500000;7
1621462680000;6
1621462860000;3
1621463040000;6
1621463220000;5
1621463400000;8
1621463580000;2
1621463760000;2
1621463940000;2
1621464120000;5
1621464300000;3
1621464480000;3
1621464660000;3
1621464840000;5
1621465020000;3
1621465200000;3
1621465380000;11
1621465560000;11
1621465740000;8
1621465920000;4
1621466100000;7
1621466280000;3
1621466460000;2
1621466640000;6
1621466820000;5
1621467000000;5
1621467180000;6
1621467360000;6
1621467540000;6
1621467720000;2
1621467900000;6
1621468080000;7
1621468260000;6
1621468440000;10
1621468620000;10
1621468800000;8
1621468980000;4
1621469160000;8
1621469340000;6
1621469520000;8
1621469700000;3
1621469880000;5
1621470060000;5
1621470240000;5
1621470420000;3
1621470600000;2
1621470780000;3
1621470960000;3
1621471140000;7
1621471320000;5
1621471500000;2
1621471680000;3
1621471860000;2
1621472040000;8
1621472220000;5
1621472400000;3
1621472580000;5
1621472760000;5
1621472940000;5
1621473120000;6
1621473300000;9
1621473480000;6
1621473660000;7
1621473840000;5
1621474020000;4
1621474200000;5
1621474380000;4
1621474560000;3
1621474740000;8
1621474920000;2
1621475100000;1
1621475280000;2
1621475460000;2
1621475640000;1
1621475820000;1
1621476000000;1
1621476180000;1
1621476360000;1
1621476540000;1
1621476720000;1
1621476900000;1
1621477080000;2
1621477260000;8
1621477440000;2
1621477620000;3
1621477800000;3
1621477980000;8
1621478160000;5
1621478340000;13
1621478520000;16
1621478700000;4
1621478880000;6
1621479060000;7
1621479240000;5
1621479420000;3
1621479600000;5
1621479780000;6
1621479960000;6
1621480140000;8
1621480320000;4
1621480500000;5
1621480680000;3
1621480860000;5
1621481040000;4
1621481220000;18
1621481400000;9
1621481580000;2
1621481760000;3
1621481940000;6
1621482120000;10
1621482300000;18
1621482480000;5
1621482660000;5
1621482840000;18
1621483020000;-2
1621483200000;-1
1621483380000;-2
1621483560000;-1
1621483740000;-1
1621483920000;-1
1621484100000;-1
1621484280000;-1
1621484460000;-1
1621484640000;-1
1621484820000;-1
1621485000000;-1
1621485180000;-1
1621485360000;-1
1621485540000;-1
1621485720000;-1
1621485900000;-1
1621486080000;-1
1621486260000;-1
1621486440000;-1
1621486620000;-1
1621486800000;-1
1621486980000;-1
1621487160000;-1
1621487340000;-1
1621487520000;-1
1621487700000;-1
1621487880000;-1
1621488060000;-1
1621488240000;-1
1621488420000;-1
1621488600000;-1
1621488780000;-1
1621488960000;-1
1621489140000;-1
1621489320000;-1
1621489500000;-1
1621489680000;-1
1621489860000;-1
1621490040000;-1
1621490220000;-1
1621490400000;-1
1621490580000;-1
1621490760000;-1
1621490940000;-1
1621491120000;-1
1621491300000;-1
1621491480000;-1
1621491660000;-1
1621491840000;-1
1621492020000;-1
1621492200000;-1
1621492380000;-1
1621492560000;-1
1621492740000;-1
1621492920000;-1
1621493100000;-1
1621493280000;-1
1621493460000;-1
1621493640000;-1
1621493820000;-1
1621494000000;-1
1621494180000;-1
1621494360000;-1
1621494540000;-1
1621494720000;-1
1621494900000;-1
1621495080000;-1
1621495260000;-1
1621495440000;-1
1621495620000;-1
1621495800000;-1
1621495980000;-1
1621496160000;-1
1621496340000;-1
1621496520000;-1
1621496700000;-1
1621496880000;-1
1621497060000;-1
1621497240000;-1
1621497420000;-1
1621497600000;-1
1621497780000;-1
1621497960000;-1
1621498140000;-1
1621498320000;-1
1621498500000;-1
1621498680000;-1
1621498860000;-1
1621499040000;-1
1621499220000;-1
1621499400000;-1
1621499580000;-1
1621499760000;-1
1621499940000;-1
1621500120000;-1
1621500300000;-1
1621500480000;-1
1621500660000;-1
1621500840000;-1
1621501020000;-1
1621501200000;-1
1621501380000;-1
1621501560000;-1
1621501740000;-1
1621501920000;-1
1621502100000;-1
1621502280000;-1
1621502460000;-1
1621502640000;-1
1621502820000;-1
1621503000000;-1
1621503180000;-1
1621503360000;-1
1621503540000;-1
1621503720000;-1
1621503900000;-1
1621504080000;-1
1621504260000;-1
1621504440000;-1
1621504620000;-1
1621504800000;-1
1621504980000;-1
1621505160000;-1
1621505340000;-1
1621505520000;-1
1621505700000;-1
1621505880000;-1
1621506060000;-1
1621506240000;-1
1621506420000;-1
1621506600000;-1
1621506780000;-1
1621506960000;-1
1621507140000;-1
1621507320000;-1
1621507500000;-1
1621507680000;-1
1621507860000;-1
1621508040000;-1
1621508220000;-1
1621508400000;-1
1621508580000;-1
1621508760000;-1
1621508940000;-1
1621509120000;-1
1621509300000;-1
1621509480000;-1
1621509660000;-1
1621509840000;-1
1621510020000;-1
1621510200000;-1
1621510380000;-1
1621510560000;-1
1621510740000;-1
1621510920000;-1
1621511100000;-1
1621511280000;-1
1621511460000;-1
1621511640000;-1
1621511820000;-1
1621512000000;-1
1621512180000;-1
1621512360000;-1
1621512540000;-1
1621512720000;-1
1621512900000;-1
1621513080000;-1
1621513260000;-1
1621513440000;-1
1621513620000;-1
1621513800000;-1
1621513980000;-1
1621514160000;-1
1621514340000;-1
1621514520000;-1
1621514700000;-1
1621514880000;-1
1621515060000;-1
1621515240000;-1
1621515420000;-1
1621515600000;-1
1621515780000;-1
1621515960000;-1
1621516140000;-1
1621516320000;-1
1621516500000;-1
1621516680000;-1
1621516860000;-1
1621517040000;-1
1621517220000;-1
1621517400000;-1
1621517580000;-1
1621517760000;-1
1621517940000;-1
1621518120000;-1
1621518300000;-1
1621518480000;-1
1621518660000;-1
1621518840000;-1
1621519020000;-1
1621519200000;-1
1621519380000;-1
1621519560000;-1
1621519740000;-1
1621519920000;-1
1621520100000;-1
1621520280000;-1
1621520460000;-1
1621520640000;-1
1621520820000;-1
1621521000000;-1
1621521180000;-1
1621521360000;-1
1621521540000;-1
1621521720000;-1
1621521900000;-2
1621522080000;77
1621522260000;76
1621522440000;94
1621522620000;-1
1621522800000;-2
1621522980000;-2
1621523160000;-2
1621523340000;-2
1621523520000;-2
1621523700000;-1
1621523880000;-1
1621524060000;-2
1621524240000;63
1621524420000;71
1621524600000;51
1621524780000;16
1621524960000;22
1621525140000;64
1621525320000;-1
1621525500000;-2
1621525680000;-2
1621525860000;-2
1621526040000;-2
1621526220000;-2
1621526400000;-2
1621526580000;-2
1621526760000;-2
1621526940000;-2
1621527120000;-2
1621527300000;-2
1621527480000;-2
1621527660000;-2
1621527840000;-2
1621528020000;-2
1621528200000;-2
1621528380000;-2
1621528560000;-2
1621528740000;-2
1621528920000;-2
1621529100000;-2
1621529280000;-2
1621529460000;-2
1621529640000;-2
1621529820000;-2
1621530000000;-2
1621530180000;-2
1621530360000;-2
1621530540000;-2
1621530720000;-2
1621530900000;-2
1621531080000;-2
1621531260000;-2
1621531440000;-2
1621531620000;-2
1621531800000;-2
1621531980000;-2
1621532160000;-2
1621532340000;-2
1621532520000;-1
1621532700000;70
1621532880000;58
1621533060000;-1
1621533240000;73
1621533420000;-1
1621533600000;-1
1621533780000;74
1621533960000;-1
1621534140000;61
1621534320000;-1
1621534500000;-2
1621534680000;-1
1621534860000;-1
1621535040000;-1
1621535220000;-1
1621535400000;-1
1621535580000;-1
1621535760000;-1
1621535940000;-1
1621536120000;-1
1621536300000;-1
1621536480000;-1
1621536660000;-1
1621536840000;-1
1621537020000;-1
1621537200000;-1
1621537380000;-1
1621537560000;-1
1621537740000;-1
1621537920000;-1
1621538100000;-1
1621538280000;-1
1621538460000;-1
1621538640000;-1
1621538820000;-1
1621539000000;-1
1621539180000;-1
1621539360000;-1
1621539540000;-1
1621539720000;-1
1621539900000;-1
1621540080000;-1
1621540260000;-1
1621540440000;-1
1621540620000;-1
1621540800000;-1
1621540980000;-1
1621541160000;-1
1621541340000;-1
1621541520000;-1
1621541700000;-1
1621541880000;-1
1621542060000;-1
1621542240000;-1
1621542420000;-1
1621542600000;-1
1621542780000;-1
1621542960000;-1
1621543140000;-1
1621543320000;-1
1621543500000;-1
1621543680000;-1
1621543860000;-1
1621544040000;77
1621544220000;-2
1621544400000;26
1621544580000;27
1621544760000;-1
1621544940000;-1
1621545120000;-1
1621545300000;-1
1621545480000;-1
1621545660000;-1
1621545840000;-1
1621546020000;-1
1621546200000;-1
1621546380000;-1
1621546560000;-1
1621546740000;-1
1621546920000;-1
1621547100000;-1
1621547280000;-1
1621547460000;-1
1621547640000;-1
1621547820000;-1